scenario,n_domains,items_per_domain,trials_per_item_condition,mc_reps,bootstrap_reps,true_r,mean_observed_r,bias_observed_r,rmse_observed_r,sd_observed_r,undefined_rate,fisher_coverage,fisher_mean_width,nested_bootstrap_coverage,nested_bootstrap_mean_width,bootstrap_invalid_rate
preserved_shift,10,50,20,240,160,1.0,0.9885465230073118,-0.011453476992688172,0.012782979457372666,0.005688343384721143,0.0,0.0,0.04658897728595711,0.0,0.057310410891722244,0.0
moderate_transport,10,50,20,240,160,0.6500000000000002,0.6447865005374861,-0.005213499462514148,0.042932380151682,0.04270371238613484,0.0,1.0,0.877384384679253,0.9875,0.24931882313500223,0.0
inverted,10,50,20,240,160,-1.0,-0.9884716650821438,0.011528334917856209,0.012948171616380838,0.0059074572172702795,0.0,0.0,0.046870954438145714,0.0,0.05930363733094463,0.0
low_spread,10,50,20,240,160,0.6499999999999985,0.27541550944225934,-0.3745844905577391,0.4721812730570145,0.28807532846688844,0.0,0.8,1.1199905480792274,0.5791666666666667,1.1107073992684449,0.0
flat_perturbed,10,50,20,240,160,,-0.0017982434777335243,,,0.3240104569392236,0.0,,1.1708692642656444,,1.0329039280673915,0.0
