scenario,n_domains,items_per_domain,trials_per_item_condition,mc_reps,true_r,mean_observed_r,bias,rmse,undefined_rate
moderate_transport,10,20,2,160,0.6500000000000004,0.4291309200048207,-0.22086907999517963,0.3163212444531739,0.0
moderate_transport,10,20,5,160,0.6500000000000004,0.5573994844420586,-0.0926005155579418,0.15841228215436756,0.0
moderate_transport,10,20,10,160,0.6500000000000004,0.6072949772542436,-0.042705022745756716,0.11515988968849078,0.0
moderate_transport,10,20,20,160,0.6500000000000004,0.6309797627251632,-0.01902023727483715,0.07873419539547988,0.0
moderate_transport,10,20,50,160,0.6500000000000004,0.646436943187757,-0.003563056812243337,0.05177446442258939,0.0
moderate_transport,10,50,2,160,0.6499999999999999,0.5397387754171405,-0.11026122458285936,0.18529949636935591,0.0
moderate_transport,10,50,5,160,0.6499999999999999,0.6248489234819873,-0.025151076518012627,0.09702691213847463,0.0
moderate_transport,10,50,10,160,0.6499999999999999,0.6308539398872699,-0.019146060112730012,0.07489967766395855,0.0
moderate_transport,10,50,20,160,0.6499999999999999,0.6423887116212832,-0.0076112883787167185,0.04472280203223726,0.0
moderate_transport,10,50,50,160,0.6499999999999999,0.6426012488422113,-0.007398751157788652,0.03181520852708922,0.0
moderate_transport,10,100,2,160,0.6499999999999998,0.5973944457523904,-0.052605554247609376,0.11140707215980716,0.0
moderate_transport,10,100,5,160,0.6499999999999998,0.6220021664420996,-0.027997833557900198,0.07051807591284902,0.0
moderate_transport,10,100,10,160,0.6499999999999998,0.6356069965493872,-0.014393003450612563,0.04925139832667131,0.0
moderate_transport,10,100,20,160,0.6499999999999998,0.6497081269768673,-0.00029187302313249397,0.030468409861512502,0.0
moderate_transport,10,100,50,160,0.6499999999999998,0.6469494352893678,-0.003050564710632031,0.022554060668531373,0.0
low_spread,10,20,2,160,0.650000000000002,0.012555585219607854,-0.6374444147803942,0.7178287966069336,0.0
low_spread,10,20,5,160,0.650000000000002,0.08672285457669125,-0.5632771454233108,0.6310187033920163,0.0
low_spread,10,20,10,160,0.650000000000002,0.0788291719000436,-0.5711708280999584,0.6586365282490979,0.0
low_spread,10,20,20,160,0.650000000000002,0.16676301861892479,-0.48323698138107724,0.5870955239661799,0.0
low_spread,10,20,50,160,0.650000000000002,0.2523438851003763,-0.3976561148996257,0.480724142301749,0.0
low_spread,10,50,2,160,0.6500000000000019,0.04551681223940537,-0.6044831877605965,0.6943595996074586,0.0
low_spread,10,50,5,160,0.6500000000000019,0.07371458451774937,-0.5762854154822525,0.6589472826137368,0.0
low_spread,10,50,10,160,0.6500000000000019,0.19041884343582868,-0.4595811565641732,0.5707245710553552,0.0
low_spread,10,50,20,160,0.6500000000000019,0.2046578999445722,-0.44534210005542973,0.5301016499777783,0.0
low_spread,10,50,50,160,0.6500000000000019,0.40730530923359165,-0.24269469076641026,0.33506598447165026,0.0
low_spread,10,100,2,160,0.6499999999999976,0.1166284542660954,-0.5333715457339022,0.6231969670880374,0.0
low_spread,10,100,5,160,0.6499999999999976,0.18191218043343718,-0.4680878195665604,0.5601739820307855,0.0
low_spread,10,100,10,160,0.6499999999999976,0.2562711149311817,-0.39372888506881587,0.4900808755256679,0.0
low_spread,10,100,20,160,0.6499999999999976,0.3379564715210442,-0.3120435284789534,0.3980293686124111,0.0
low_spread,10,100,50,160,0.6499999999999976,0.5249989661939299,-0.12500103380606764,0.22017011442072537,0.0
