scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
null_effect,300,2,0.05,12,signed,signed,latent_metric,0.0,-0.009166666666666667,-0.009166666666666667,0.026985935980446202,0.02650995620097811,0.5833333333333334
null_effect,300,2,0.05,12,ins,raw,latent_metric,0.0,0.3277777777777778,0.3277777777777778,0.3281676118715579,0.01670198278517341,0.0
null_effect,300,2,0.05,12,ins,adjusted,latent_metric,0.0,0.17015625,0.17015625,0.1711625232313572,0.01935674497981322,0.0
null_effect,300,2,0.05,12,wtd,raw,oracle_tail,0.0,0.9138888888888891,0.9138888888888891,0.917777105192113,0.08814397466282234,0.0
null_effect,300,2,0.05,12,wtd,adjusted,oracle_tail,0.0,0.1498842592592593,0.1498842592592593,0.17837762300492987,0.10101279063127894,0.16666666666666666
null_effect,300,2,0.05,12,wtd,split_oracle_comparison,oracle_tail,0.0,0.0069444444444444475,0.0069444444444444475,0.08734738307023347,0.09094257940986397,0.4166666666666667
null_effect,300,2,0.05,12,wtd,split,noisy_selected_set,0.0,0.0069444444444444475,0.0069444444444444475,0.08734738307023347,0.09094257940986397,0.4166666666666667
null_effect,300,2,0.1,12,signed,signed,latent_metric,0.0,0.011527777777777781,0.011527777777777781,0.03161179456398443,0.030743795738831216,0.25
null_effect,300,2,0.1,12,ins,raw,latent_metric,0.0,0.3281944444444445,0.3281944444444445,0.3287282593853448,0.019559005951344098,0.0
null_effect,300,2,0.1,12,ins,adjusted,latent_metric,0.0,0.1704513888888889,0.1704513888888889,0.1716052339549422,0.020749948869489287,0.0
null_effect,300,2,0.1,12,wtd,raw,oracle_tail,0.0,0.7027777777777778,0.7027777777777778,0.704581567446371,0.052624711584580396,0.0
null_effect,300,2,0.1,12,wtd,adjusted,oracle_tail,0.0,0.07609953703703701,0.07609953703703701,0.09150936102860838,0.05308131277351234,0.08333333333333333
null_effect,300,2,0.1,12,wtd,split_oracle_comparison,oracle_tail,0.0,-0.03605324074074074,-0.03605324074074074,0.0755139817028156,0.06930191075447956,0.75
null_effect,300,2,0.1,12,wtd,split,noisy_selected_set,0.0,-0.03605324074074074,-0.03605324074074074,0.0755139817028156,0.06930191075447956,0.75
null_effect,300,2,0.2,12,signed,signed,latent_metric,0.0,0.00013888888888888846,0.00013888888888888846,0.027144162458170553,0.028350781911912672,0.4166666666666667
null_effect,300,2,0.2,12,ins,raw,latent_metric,0.0,0.32430555555555557,0.32430555555555557,0.32460339047999964,0.014520245937570826,0.0
null_effect,300,2,0.2,12,ins,adjusted,latent_metric,0.0,0.17344328703703704,0.17344328703703704,0.17473662136870685,0.02216417328127378,0.0
null_effect,300,2,0.2,12,wtd,raw,oracle_tail,0.0,0.6097222222222222,0.6097222222222222,0.610469991982498,0.031549490810001524,0.0
null_effect,300,2,0.2,12,wtd,adjusted,oracle_tail,0.0,0.23043981481481476,0.23043981481481476,0.23374718726988855,0.04092439998602588,0.0
null_effect,300,2,0.2,12,wtd,split_oracle_comparison,oracle_tail,0.0,0.005787037037037038,0.005787037037037038,0.05913593033150692,0.0614690029069032,0.4166666666666667
null_effect,300,2,0.2,12,wtd,split,noisy_selected_set,0.0,0.005787037037037038,0.005787037037037038,0.05913593033150692,0.0614690029069032,0.4166666666666667
null_effect,300,5,0.05,12,signed,signed,latent_metric,0.0,-0.0004999999999999995,-0.0004999999999999995,0.013036984427503279,0.013606668002909977,0.4166666666666667
null_effect,300,5,0.05,12,ins,raw,latent_metric,0.0,0.21538888888888885,0.21538888888888885,0.21563661133524648,0.010792658684563385,0.0
null_effect,300,5,0.05,12,ins,adjusted,latent_metric,0.0,0.038219907407407404,0.038219907407407404,0.040846142328339836,0.015050678784192615,0.0
null_effect,300,5,0.05,12,wtd,raw,oracle_tail,0.0,0.57,0.57,0.5725705520169868,0.056604243692857534,0.0
null_effect,300,5,0.05,12,wtd,adjusted,oracle_tail,0.0,0.02078703703703705,0.02078703703703705,0.0637621528801976,0.06295895832976683,0.3333333333333333
null_effect,300,5,0.05,12,wtd,split_oracle_comparison,oracle_tail,0.0,-0.005304783950617282,-0.005304783950617282,0.07029878918040416,0.07321534136902917,0.5833333333333334
null_effect,300,5,0.05,12,wtd,split,noisy_selected_set,0.0,-0.005304783950617282,-0.005304783950617282,0.07029878918040416,0.07321534136902917,0.5833333333333334
null_effect,300,5,0.1,12,signed,signed,latent_metric,0.0,-0.008888888888888889,-0.008888888888888889,0.014243907079480997,0.011624889123688326,0.6666666666666666
null_effect,300,5,0.1,12,ins,raw,latent_metric,0.0,0.21988888888888888,0.21988888888888888,0.2200910585963775,0.009850737893022885,0.0
null_effect,300,5,0.1,12,ins,adjusted,latent_metric,0.0,0.04177083333333331,0.04177083333333331,0.04262207790811893,0.008852673423300908,0.0
null_effect,300,5,0.1,12,wtd,raw,oracle_tail,0.0,0.5027777777777779,0.5027777777777779,0.50366435031455,0.03119936975967098,0.0
null_effect,300,5,0.1,12,wtd,adjusted,oracle_tail,0.0,0.033055555555555546,0.033055555555555546,0.043844181401850243,0.030084290489077486,0.08333333333333333
null_effect,300,5,0.1,12,wtd,split_oracle_comparison,oracle_tail,0.0,0.016078317901234564,0.016078317901234564,0.045112109716332414,0.04402383821016543,0.3333333333333333
null_effect,300,5,0.1,12,wtd,split,noisy_selected_set,0.0,0.016078317901234564,0.016078317901234564,0.045112109716332414,0.04402383821016543,0.3333333333333333
null_effect,300,5,0.2,12,signed,signed,latent_metric,0.0,-0.0012777777777777776,-0.0012777777777777776,0.008668803155462012,0.00895537007602998,0.5833333333333334
null_effect,300,5,0.2,12,ins,raw,latent_metric,0.0,0.21527777777777776,0.21527777777777776,0.21543487457973273,0.008591554854321478,0.0
null_effect,300,5,0.2,12,ins,adjusted,latent_metric,0.0,0.037821759259259256,0.037821759259259256,0.03915553345182669,0.010583193869102392,0.0
null_effect,300,5,0.2,12,wtd,raw,oracle_tail,0.0,0.39138888888888884,0.39138888888888884,0.3919124524308591,0.02115160921515364,0.0
