cell,benchmark,benchmark_label,model,model_label,baseline_repo,perturbed_repo,common_question_ids,n_items,n_baseline_trials,n_perturbed_trials,tail_q,tail_k,baseline_accuracy,perturbed_accuracy,signed_delta,signed_degradation,ins_raw,wtd_raw,absolute_loss_mean,absolute_loss_tail_raw,n_boot,ins_floor,ins_floor_sd,wtd_floor,wtd_floor_sd,ins_adjusted,wtd_adjusted,split_reps,split_wtd,split_wtd_mc_sd,selection_half_wtd,naive_wtd,winners_curse_naive_minus_split,absolute_tail_q,absolute_tail_k,absolute_loss_tail_crossfit,absolute_loss_tail_mc_sd,split_half_reps,split_half_r,split_half_r_sd,split_half_undefined_rate,spearman_brown_reliability,f_plus,f_minus,n_item_boot,boot_level,signed_delta_boot_lo,signed_delta_boot_hi,signed_delta_boot_sd,ins_raw_boot_lo,ins_raw_boot_hi,ins_raw_boot_sd,wtd_raw_boot_lo,wtd_raw_boot_hi,wtd_raw_boot_sd,absolute_loss_tail_raw_boot_lo,absolute_loss_tail_raw_boot_hi,absolute_loss_tail_raw_boot_sd,baseline_accuracy_published,signed_delta_published,ins_adjusted_published,wtd_adjusted_published,baseline_accuracy_difference_from_published,signed_delta_difference_from_published,ins_adjusted_difference_from_published,wtd_adjusted_difference_from_published
hle.grok,hle,HLE,grok,Grok-4.20-NR,SALT-NLP/hle-context-baseline-grok,SALT-NLP/hle-ctx-screen-grok,500,500,20,20,0.1,50,0.09090000000000001,0.0798,-0.0111,0.0111,0.0419,0.242,0.9201999999999999,1.0,1000,0.0170409,0.0014166665571453765,0.08555,0.013425115781017821,0.0248591,0.15644999999999998,200,0.17643,0.009278770278945764,0.26613,0.242,0.06556999999999999,0.1,50,0.996275,0.0020223313577658383,200,0.7211186529174762,0.03831354913982724,0.0,0.837965066144748,0.015399999999999999,0.0265,1000,0.95,-0.021900000000000003,-0.0003975000000000009,0.0055473738784173315,0.031100000000000003,0.051907499999999995,0.005298694260935506,0.17397500000000002,0.31799999999999995,0.03839810008438034,1.0,1.0,0.0,0.091,-0.011,0.025,0.156,-9.999999999998899e-05,-0.00010000000000000113,-0.00014090000000000283,0.0004499999999999782
hle.mistr,hle,HLE,mistr,Mistral-Large-3,SALT-NLP/hle-context-baseline-mistr,SALT-NLP/hle-ctx-screen-mistr,500,500,20,20,0.1,50,0.05140000000000001,0.05159999999999999,0.00020000000000000017,-0.00020000000000000017,0.04340000000000001,0.203,0.9484000000000001,1.0,1000,0.0162394,0.0013323673828350958,0.08099399999999998,0.01283240564487558,0.027160600000000007,0.12200600000000003,200,0.13785999999999998,0.010032630180650965,0.23166499999999998,0.203,0.06514000000000003,0.1,50,0.9946450000000001,0.002657874429391295,200,0.7692290939917495,0.027224874005418006,0.0,0.8695641470107282,0.0218,0.0216,1000,0.95,-0.011104999999999997,0.012600000000000002,0.006093603896582748,0.032795,0.05530249999999999,0.005850965116354121,0.137,0.27899999999999997,0.03672086901506037,1.0,1.0,0.0,0.051,0.0,0.027,0.122,0.00040000000000001146,0.00020000000000000017,0.00016060000000000726,6.000000000033756e-06
hle.gptos,hle,HLE,gptos,gpt-oss-120b,SALT-NLP/hle-context-baseline-gptos,SALT-NLP/hle-ctx-screen-gptos,500,500,20,20,0.1,50,0.0473,0.04560000000000001,-0.0017,0.0017,0.025299999999999996,0.12,0.9544,1.0,1000,0.0173392,0.001463504426096896,0.08629399999999998,0.013172968195934094,0.007960799999999997,0.033706000000000014,200,0.03905,0.010072974938944454,0.157815,0.12,0.08095,0.1,50,0.992595,0.002718071848363162,200,0.27122285541817837,0.06341104635031837,0.0,0.42671173549496566,0.011800000000000001,0.0135,1000,0.95,-0.007602499999999997,0.003999999999999999,0.002965116507981753,0.02,0.030502499999999995,0.002733091308042616,0.08997500000000001,0.15602499999999997,0.01697866738428391,1.0,1.0,0.0,0.047,-0.002,0.008,0.033,0.00030000000000000165,0.00030000000000000014,-3.920000000000312e-05,0.0007060000000000122
hle.gemin,hle,HLE,gemin,gemini-3.1-fl,SALT-NLP/hle-context-baseline-gemin,SALT-NLP/hle-ctx-screen-gemin,500,500,20,20,0.1,50,0.06459999999999999,0.072,0.007400000000000002,-0.007400000000000002,0.04739999999999999,0.18899999999999997,0.928,1.0,1000,0.016457,0.0013890646135081336,0.08212699999999999,0.013185322283650245,0.03094299999999999,0.10687299999999998,200,0.12486000000000001,0.009816425574274805,0.21707,0.18899999999999997,0.06413999999999996,0.1,50,0.99359,0.0023748895769093274,200,0.6529382397521573,0.03950070560361813,0.0,0.7900334374865201,0.0274,0.02,1000,0.95,-0.002102499999999997,0.0178,0.005278775664158547,0.0374975,0.056702499999999996,0.005111195993550284,0.13197500000000004,0.247,0.029573183192956487,1.0,1.0,0.0,0.065,0.007,0.031,0.106,-0.00040000000000001146,0.0004000000000000019,-5.700000000000843e-05,0.0008729999999999849
simpleqa.gpt55,simpleqa,SimpleQA,gpt55,gpt-5.5,SALT-NLP/simpleqa-verified-context-baseline-gpt55,SALT-NLP/simpleqa-verified-ctx-screen-gpt55,500,500,20,20,0.1,50,0.5005,0.4917,-0.0088,0.0088,0.0608,0.262,0.5083,1.0,1000,0.03730329999999999,0.0021233058040559154,0.152746,0.013567666179765977,0.02349670000000001,0.10925400000000002,200,0.14094,0.013922123675581644,0.30849499999999996,0.262,0.12106,0.1,50,0.987595,0.0047097647947759065,200,0.39467401479222725,0.04340744492929728,0.0,0.5659731386778927,0.026,0.034800000000000005,1000,0.95,-0.02,0.0024024999999999954,0.005571291814515058,0.051897500000000006,0.0699,0.0047080387869280794,0.21197500000000002,0.31200000000000006,0.02609856967995257,1.0,1.0,0.0,0.5,-0.009,0.024,0.11,0.0004999999999999449,0.0001999999999999988,-0.0005032999999999913,-0.0007459999999999828
simpleqa.gpt54,simpleqa,SimpleQA,gpt54,gpt-5.4,SALT-NLP/simpleqa-verified-context-baseline-gpt54,SALT-NLP/simpleqa-verified-ctx-screen-gpt54,500,500,20,20,0.1,50,0.30960000000000004,0.31320000000000003,0.0035999999999999977,-0.0035999999999999977,0.057800000000000004,0.22,0.6868,1.0,1000,0.034704099999999995,0.0019948164032016786,0.145154,0.014326183145678528,0.02309590000000001,0.074846,200,0.10912000000000001,0.013485730407475733,0.25826,0.22,0.11087999999999999,0.1,50,0.98866,0.003652547813189884,200,0.4446697136113387,0.04262866315918389,0.0,0.615600520204397,0.0307,0.027100000000000003,1000,0.95,-0.0067025,0.014307499999999994,0.005425759340813452,0.048697500000000005,0.0675,0.004763233358972876,0.17197500000000007,0.27204999999999996,0.025188577737705806,1.0,1.0,0.0,0.31,0.004,0.023,0.074,-0.00039999999999995595,-0.00040000000000000235,9.590000000000987e-05,0.0008459999999999995
simpleqa.gpt41,simpleqa,SimpleQA,gpt41,gpt-4.1,SALT-NLP/simpleqa-verified-context-baseline-gpt41,SALT-NLP/simpleqa-verified-ctx-screen-gpt41,500,500,20,20,0.1,50,0.3043,0.29710000000000003,-0.007200000000000001,0.007200000000000001,0.06819999999999998,0.269,0.7029000000000001,1.0,1000,0.03679539999999999,0.002205026299385334,0.15160099999999999,0.013729103659281155,0.03140459999999999,0.11739900000000003,200,0.15404,0.014378180006576197,0.311475,0.269,0.11496,0.1,50,0.99272,0.0032687956689931115,200,0.46821746035046596,0.03918830504578715,0.0,0.6378039670481807,0.0305,0.037700000000000004,1000,0.95,-0.018902500000000006,0.0036074999999999927,0.00583229400865589,0.058397500000000005,0.07870499999999998,0.005072368057200474,0.220975,0.311025,0.022566586246369095,1.0,1.0,0.0,0.304,-0.007,0.031,0.118,0.00030000000000002247,-0.00020000000000000052,0.0004045999999999911,-0.0006009999999999627
simpleqa.deep,simpleqa,SimpleQA,deep,DeepSeek-V4-Pro,SALT-NLP/simpleqa-verified-context-baseline-deep,SALT-NLP/simpleqa-verified-ctx-screen-deep,500,500,20,20,0.1,50,0.4182,0.35919999999999996,-0.05899999999999999,0.05899999999999999,0.11359999999999999,0.43700000000000006,0.6407999999999999,1.0,1000,0.0451098,0.0023611266122084344,0.16274599999999997,0.012566120777367665,0.0684902,0.2742540000000001,200,0.320135,0.014101454894823921,0.47946000000000005,0.43700000000000006,0.11686500000000005,0.1,50,0.978785,0.0047084629249446175,200,0.5713594340982705,0.02858721168530552,0.0,0.727216729285298,0.0273,0.0863,1000,0.95,-0.0735025,-0.043792500000000005,0.007806564060611584,0.1007975,0.12719999999999998,0.006622058559811259,0.38800000000000007,0.493,0.026801281848238313,1.0,1.0,0.0,0.418,-0.059,0.069,0.274,0.00020000000000003348,6.938893903907228e-18,-0.0005098000000000047,0.0002540000000000875
simpleqa.grok,simpleqa,SimpleQA,grok,Grok-4.20-NR,SALT-NLP/simpleqa-verified-context-baseline-grok,SALT-NLP/simpleqa-verified-ctx-screen-grok,500,500,20,20,0.1,50,0.1946,0.1926,-0.0020000000000000018,0.0020000000000000018,0.074,0.332,0.8074,1.0,1000,0.026638600000000002,0.0018732108687915942,0.12484100000000001,0.013673210145232014,0.0473614,0.207159,200,0.25600500000000004,0.012476509586310048,0.35331,0.332,0.07599499999999998,0.1,50,0.99387,0.002546669911510115,200,0.711970855223357,0.027490216000722344,0.0,0.8317558129580048,0.036,0.038,1000,0.95,-0.016399999999999998,0.011702499999999996,0.007236330478135226,0.0615,0.0883,0.006671537589177161,0.25995000000000007,0.3969999999999999,0.03525619910846284,1.0,1.0,0.0,0.195,-0.004,0.047,0.207,-0.00040000000000001146,0.0019999999999999983,0.00036139999999999783,0.00015900000000002024
simpleqa.mistr,simpleqa,SimpleQA,mistr,Mistral-Large-3,SALT-NLP/simpleqa-verified-context-baseline-mistr,SALT-NLP/simpleqa-verified-ctx-screen-mistr,500,500,20,20,0.1,50,0.2869,0.26940000000000003,-0.0175,0.0175,0.1151,0.613,0.7306,1.0,1000,0.019641799999999997,0.0015178130703471084,0.097243,0.01350104548652545,0.09545819999999999,0.515757,200,0.579975,0.008096427340400943,0.6216499999999999,0.613,0.03302499999999997,0.1,50,0.989665,0.0036605701563208353,200,0.9038966686438431,0.010371695499280891,0.0,0.9495228218322311,0.048799999999999996,0.0663,1000,0.95,-0.041809999999999986,0.006104999999999995,0.012082392869686761,0.0950825,0.137605,0.010995194990216083,0.4699749999999999,0.7350249999999999,0.06898114454184058,1.0,1.0,0.0,0.287,-0.018,0.096,0.516,-9.999999999998899e-05,0.000499999999999997,-0.0005418000000000089,-0.00024299999999999322
simpleqa.gptos,simpleqa,SimpleQA,gptos,gpt-oss-120b,SALT-NLP/simpleqa-verified-context-baseline-gptos,SALT-NLP/simpleqa-verified-ctx-screen-gptos,500,500,20,20,0.1,50,0.1106,0.1057,-0.004900000000000002,0.004900000000000002,0.04309999999999999,0.20799999999999996,0.8943,1.0,1000,0.0248065,0.0017136172951491338,0.11652000000000001,0.012653525663296843,0.018293499999999994,0.09147999999999995,200,0.11298499999999999,0.011197396278469626,0.23766,0.20799999999999996,0.09501499999999997,0.1,50,0.9922550000000001,0.0027764217237191617,200,0.4546761010219694,0.0494003542984127,0.0,0.6251234906554674,0.019100000000000002,0.024,1000,0.95,-0.014804999999999997,0.0033999999999999985,0.004603300374115765,0.035,0.0508,0.004186356045170661,0.15797500000000003,0.262025,0.027200734382566788,1.0,1.0,0.0,0.111,-0.005,0.018,0.092,-0.0003999999999999976,9.999999999999853e-05,0.00029349999999999515,-0.0005200000000000482
simpleqa.gemin,simpleqa,SimpleQA,gemin,gemini-3.1-fl,SALT-NLP/simpleqa-verified-context-baseline-gemin,SALT-NLP/simpleqa-verified-ctx-screen-gemin,500,500,20,20,0.1,50,0.3453,0.3251,-0.020200000000000003,0.020200000000000003,0.0906,0.447,0.6748999999999999,1.0,1000,0.0209007,0.001582584621460756,0.10287099999999999,0.013686989906209937,0.06969929999999999,0.344129,200,0.38278000000000006,0.011662834498641982,0.469765,0.447,0.06421999999999994,0.1,50,0.9932599999999999,0.0038151246217387152,200,0.8177872356364534,0.01903085464651086,0.0,0.8997612257411691,0.0352,0.0554,1000,0.95,-0.038502499999999995,-0.0015975000000000032,0.009203694126576326,0.0739975,0.1058,0.008052057795665948,0.358975,0.525,0.043675372570467774,1.0,1.0,0.0,0.345,-0.02,0.07,0.344,0.00030000000000002247,-0.00020000000000000226,-0.00030070000000001484,0.00012900000000004574
