cell,benchmark,benchmark_label,model,model_label,baseline_repo,perturbed_repo,common_question_ids,n_items,n_baseline_trials,n_perturbed_trials,tail_q,tail_k,baseline_accuracy,perturbed_accuracy,signed_delta,signed_degradation,ins_raw,wtd_raw,absolute_loss_mean,absolute_loss_tail_raw,n_boot,ins_floor,ins_floor_sd,wtd_floor,wtd_floor_sd,ins_adjusted,wtd_adjusted,split_reps,split_wtd,split_wtd_mc_sd,selection_half_wtd,naive_wtd,winners_curse_naive_minus_split,absolute_tail_q,absolute_tail_k,absolute_loss_tail_crossfit,absolute_loss_tail_mc_sd,split_half_reps,split_half_r,split_half_r_sd,split_half_undefined_rate,spearman_brown_reliability,f_plus,f_minus,n_item_boot,boot_level,signed_delta_boot_lo,signed_delta_boot_hi,signed_delta_boot_sd,ins_raw_boot_lo,ins_raw_boot_hi,ins_raw_boot_sd,wtd_raw_boot_lo,wtd_raw_boot_hi,wtd_raw_boot_sd,absolute_loss_tail_raw_boot_lo,absolute_loss_tail_raw_boot_hi,absolute_loss_tail_raw_boot_sd,baseline_accuracy_published,signed_delta_published,ins_adjusted_published,wtd_adjusted_published,baseline_accuracy_difference_from_published,signed_delta_difference_from_published,ins_adjusted_difference_from_published,wtd_adjusted_difference_from_published
gpqa.gpt41,gpqa,GPQA,gpt41,gpt-4.1,SALT-NLP/gpqa_diamond-context-baseline-gpt41,SALT-NLP/gpqa_diamond-ctx-screen-gpt41,190,190,20,20,0.1,19,0.5728947368421052,0.5636842105263158,-0.009210526315789473,0.009210526315789473,0.09236842105263156,0.37894736842105264,0.43631578947368416,1.0,1000,0.03624605263157895,0.0036193724771839578,0.15166052631578947,0.02386728890950671,0.05612236842105261,0.22728684210526318,200,0.2712631578947368,0.0208722769225156,0.4166447368421053,0.37894736842105264,0.10768421052631583,0.1,19,0.973578947368421,0.00940111498635554,200,0.6965703569358854,0.04084179942005143,0.0,0.8211511583804116,0.04157894736842104,0.05078947368421054,1000,0.95,-0.03526973684210526,0.014473684210526314,0.01287455070772304,0.07025657894736843,0.11657894736842105,0.012115932628363118,0.2657894736842105,0.4894736842105263,0.05605632022170713,1.0,1.0,0.0,0.573,-0.009,0.056,0.227,-0.0001052631578947194,-0.0002105263157894735,0.00012236842105260715,0.00028684210526316867
gpqa.deep,gpqa,GPQA,deep,DeepSeek-V4-Pro,SALT-NLP/gpqa_diamond-context-baseline-deep,SALT-NLP/gpqa_diamond-ctx-screen-deep,190,190,20,20,0.1,19,0.7005263157894737,0.6984210526315789,-0.0021052631578947364,0.0021052631578947364,0.08526315789473682,0.2605263157894737,0.30157894736842106,0.9684210526315788,1000,0.05524868421052631,0.004288905311025027,0.1836184210526316,0.022459445479222552,0.030014473684210508,0.07690789473684212,200,0.09852631578947368,0.0241298403666311,0.31835526315789475,0.2605263157894737,0.16200000000000003,0.1,19,0.9241184210526316,0.011923819574229128,200,0.3149887266824539,0.059234889481940806,0.0,0.47907441378167503,0.04157894736842105,0.043684210526315784,1000,0.95,-0.02,0.01763815789473684,0.009653842829498912,0.07105263157894737,0.0992171052631579,0.007097681901611618,0.20256578947368425,0.3131578947368421,0.027672167950360857,0.9342105263157893,0.9868421052631579,0.013488330449949147,0.7,-0.002,0.03,0.077,0.000526315789473708,-0.00010526315789473632,1.4473684210508653e-05,-9.210526315787948e-05
gpqa.grok,gpqa,GPQA,grok,Grok-4.20-NR,SALT-NLP/gpqa_diamond-context-baseline-grok,SALT-NLP/gpqa_diamond-ctx-screen-grok,190,190,20,20,0.1,19,0.5455263157894737,0.5513157894736842,0.005789473684210528,-0.005789473684210528,0.10578947368421053,0.3842105263157895,0.4486842105263158,1.0,1000,0.03995263157894737,0.0038469444767623116,0.1572947368421053,0.022643824113238963,0.06583684210526317,0.2269157894736842,200,0.28080263157894736,0.02151340104134154,0.41490789473684214,0.3842105263157895,0.10340789473684214,0.1,19,0.9650263157894736,0.010178702276749121,200,0.730732438746721,0.037113740782201005,0.0,0.8444198795694474,0.055789473684210535,0.05,1000,0.95,-0.023427631578947363,0.03711184210526315,0.015368882177357168,0.08263157894736843,0.13422368421052633,0.013324950895452777,0.2578947368421053,0.5184868421052632,0.06705737539332815,1.0,1.0,0.0,0.545,0.006,0.066,0.227,0.000526315789473708,-0.00021052631578947177,-0.00016315789473683728,-8.421052631579773e-05
gpqa.mistr,gpqa,GPQA,mistr,Mistral-Large-3,SALT-NLP/gpqa_diamond-context-baseline-mistr,SALT-NLP/gpqa_diamond-ctx-screen-mistr,190,190,20,20,0.1,19,0.506578947368421,0.4771052631578947,-0.029473684210526308,0.029473684210526308,0.13894736842105265,0.6526315789473686,0.5228947368421053,1.0,1000,0.02598605263157895,0.002973925254572723,0.12162368421052633,0.022457830556897016,0.1129613157894737,0.5310078947368422,200,0.6174210526315789,0.013432884206136203,0.6628289473684209,0.6526315789473686,0.03521052631578969,0.1,19,0.9873026315789474,0.007076221172465896,200,0.8866203482772771,0.01781293172480863,0.0,0.9399033028419032,0.05473684210526315,0.08421052631578947,1000,0.95,-0.07000657894736842,0.012118421052631561,0.0200237528129843,0.10604605263157897,0.17474999999999996,0.017744758681683938,0.47368421052631576,0.7763157894736841,0.08189299434065692,1.0,1.0,0.0,0.507,-0.03,0.113,0.532,-0.00042105263157898865,0.0005263157894736907,-3.868421052630189e-05,-0.0009921052631578497
gpqa.gptos,gpqa,GPQA,gptos,gpt-oss-120b,SALT-NLP/gpqa_diamond-context-baseline-gptos,SALT-NLP/gpqa_diamond-ctx-screen-gptos,190,190,20,20,0.1,19,0.6344736842105264,0.613421052631579,-0.02105263157894737,0.02105263157894737,0.06578947368421052,0.2657894736842105,0.38657894736842097,1.0,1000,0.05330052631578947,0.004189186445849831,0.17965,0.021603500810246902,0.01248894736842105,0.08613947368421052,200,0.09617105263157896,0.02646716249566571,0.33076315789473687,0.2657894736842105,0.16961842105263156,0.1,19,0.9567631578947368,0.013918782740614012,200,0.20265132227581922,0.062350341001878806,0.0,0.33700760731270807,0.02236842105263158,0.04342105263157895,1000,0.95,-0.03921052631578947,-0.00578947368421053,0.008496305039158611,0.05289473684210526,0.08236842105263158,0.007485026534948095,0.19467105263157902,0.3684210526315789,0.04387009959265934,0.9842105263157894,1.0,0.005145527062208202,0.634,-0.021,0.012,0.085,0.00047368421052640386,-5.263157894737011e-05,0.0004889473684210506,0.0011394736842105097
gpqa.gemin,gpqa,GPQA,gemin,gemini-3.1-fl,SALT-NLP/gpqa_diamond-context-baseline-gemin,SALT-NLP/gpqa_diamond-ctx-screen-gemin,190,190,20,20,0.1,19,0.5723684210526315,0.6571052631578947,0.08473684210526317,-0.08473684210526317,0.16421052631578947,0.3394736842105263,0.3428947368421052,1.0,1000,0.027681842105263154,0.0029508468108889463,0.124,0.021259324638657928,0.13652868421052633,0.21547368421052632,200,0.2678421052631579,0.01900985904050079,0.35919736842105265,0.3394736842105263,0.07163157894736844,0.1,19,0.9649868421052631,0.010201267693466621,200,0.8547520252482745,0.02281911388414286,0.0,0.9216887364054595,0.1244736842105263,0.039736842105263154,1000,0.95,0.04736184210526317,0.12658552631578948,0.02005311564607118,0.13025657894736845,0.20078947368421052,0.017889956656295242,0.22105263157894742,0.4368421052631579,0.056202801263177955,0.9867763157894737,1.0,0.0043100398466244605,0.572,0.085,0.136,0.215,0.00036842105263157343,-0.00026315789473684015,0.0005286842105263201,0.0004736842105263206
hle.gpt55,hle,HLE,gpt55,gpt-5.5,SALT-NLP/hle-context-baseline-gpt55,SALT-NLP/hle-ctx-screen-gpt55,500,500,20,20,0.1,50,0.12869999999999998,0.1288,0.00010000000000000231,-0.00010000000000000231,0.04209999999999999,0.16899999999999998,0.8712000000000001,1.0,1000,0.0278323,0.001820241739437372,0.124649,0.012458210385364587,0.01426769999999999,0.04435099999999999,200,0.04928000000000001,0.011358551114340485,0.210275,0.16899999999999998,0.11971999999999997,0.1,50,0.9947300000000001,0.0017239372955519432,200,0.3531583895233258,0.04767873110196986,0.0,0.5219764253137168,0.0211,0.021,1000,0.95,-0.008299999999999997,0.009404999999999995,0.004441459508152986,0.034795,0.050102499999999994,0.003959286474781712,0.132975,0.20299999999999996,0.01813733039214299,1.0,1.0,0.0,0.129,0.0,0.014,0.043,-0.00030000000000002247,0.00010000000000000231,0.0002676999999999905,0.001350999999999991
hle.gpt54,hle,HLE,gpt54,gpt-5.4,SALT-NLP/hle-context-baseline-gpt54,SALT-NLP/hle-ctx-screen-gpt54,500,500,20,20,0.1,50,0.1146,0.0992,-0.015399999999999999,0.015399999999999999,0.054799999999999995,0.302,0.9008,1.0,1000,0.0238765,0.0017587754379229433,0.113865,0.01332269752224636,0.030923499999999996,0.188135,200,0.22174500000000003,0.011660609937760674,0.326965,0.302,0.08025499999999997,0.1,50,0.9924799999999999,0.0028407656976145996,200,0.636058344640291,0.03587990405420006,0.0,0.7775497086934718,0.0197,0.0351,1000,0.95,-0.0259025,-0.004097500000000002,0.005749760807141402,0.0450975,0.06620000000000001,0.005272436873076868,0.23297500000000002,0.371,0.03506917732422873,1.0,1.0,0.0,0.115,-0.015,0.031,0.188,-0.00040000000000001146,-0.0003999999999999993,-7.650000000000365e-05,0.00013499999999999623
hle.gpt41,hle,HLE,gpt41,gpt-4.1,SALT-NLP/hle-context-baseline-gpt41,SALT-NLP/hle-ctx-screen-gpt41,500,500,20,20,0.1,50,0.0384,0.0368,-0.0016,0.0016,0.0242,0.126,0.9632000000000001,1.0,1000,0.014357400000000003,0.0013232294495574743,0.07159499999999999,0.011963281117448302,0.009842599999999996,0.05440500000000001,200,0.05317000000000001,0.00987515536421259,0.149765,0.126,0.07282999999999999,0.1,50,0.990795,0.002871270795292484,200,0.3551788477021251,0.0697939658649932,0.0,0.5241800346933915,0.011300000000000001,0.0129,1000,0.95,-0.007199999999999999,0.004104999999999995,0.0029407405521390353,0.0188,0.029700000000000004,0.0028416211518727777,0.091,0.15899999999999997,0.01754258513712541,1.0,1.0,0.0,0.038,-0.002,0.01,0.054,0.0003999999999999976,0.00039999999999999996,-0.00015740000000000372,0.0004050000000000095
hle.deep,hle,HLE,deep,DeepSeek-V4-Pro,SALT-NLP/hle-context-baseline-deep,SALT-NLP/hle-ctx-screen-deep,500,500,20,20,0.1,50,0.07790000000000001,0.07569999999999999,-0.002200000000000001,0.002200000000000001,0.041,0.16699999999999998,0.9242999999999999,1.0,1000,0.0284418,0.0018652377521034343,0.12533,0.01279964573458699,0.012558200000000002,0.041669999999999985,200,0.04668000000000001,0.012179874660014706,0.2115,0.16699999999999998,0.12031999999999997,0.1,50,0.98861,0.003384549582942615,200,0.22527517624763846,0.05548716355208437,0.0,0.36771360526136776,0.019399999999999997,0.021599999999999998,1000,0.95,-0.0095,0.004699999999999999,0.0037205020757547893,0.0345975,0.0479025,0.0033532715652315115,0.127,0.20800000000000002,0.020343344259380156,1.0,1.0,0.0,0.078,-0.002,0.012,0.042,-9.999999999998899e-05,-0.00020000000000000096,0.0005582000000000018,-0.0003300000000000178
