cell,n_trials,tail_q,subsample_rep,ins_raw,ins_floor,ins_adjusted,wtd_raw,wtd_floor,wtd_adjusted,wtd_split,absolute_loss_tail_raw,absolute_loss_tail_crossfit,benchmark,model
mmlu_pro.gpt55,5,0.05,0,0.06439999999999999,0.03290625,0.03149374999999999,0.4480000000000001,0.29525,0.1527500000000001,0.14651041666666667,1.0,0.89828125,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,1,0.057199999999999994,0.027693750000000003,0.02950624999999999,0.44,0.277625,0.162375,0.15020833333333333,1.0,0.9061979166666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,2,0.0528,0.0315,0.0213,0.3760000000000001,0.30125,0.0747500000000001,0.07953125,1.0,0.88171875,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,3,0.0604,0.0318625,0.0285375,0.4160000000000001,0.28900000000000003,0.12700000000000006,0.07557291666666666,1.0,0.921875,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,4,0.06,0.0308625,0.029137499999999997,0.40800000000000003,0.29875,0.10925000000000001,0.12135416666666667,1.0,0.9064583333333334,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,5,0.0648,0.032093750000000004,0.03270624999999999,0.44799999999999995,0.30425,0.14374999999999993,0.17713541666666668,1.0,0.9119791666666666,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,6,0.054799999999999995,0.031593750000000004,0.02320624999999999,0.32800000000000007,0.29600000000000004,0.03200000000000003,0.02770833333333333,1.0,0.8906770833333333,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,7,0.0616,0.028993750000000002,0.03260625,0.4799999999999999,0.28212500000000007,0.19787499999999986,0.18270833333333336,1.0,0.8579166666666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,8,0.0648,0.031706250000000005,0.03309374999999999,0.44000000000000006,0.295625,0.14437500000000003,0.13041666666666668,1.0,0.91453125,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.05,9,0.0648,0.02869375,0.03610624999999999,0.4640000000000001,0.27937500000000004,0.18462500000000004,0.17375000000000002,1.0,0.8869270833333334,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,0,0.0608,0.03065625,0.03014375,0.27599999999999997,0.153625,0.12237499999999996,0.07151041666666666,1.0,0.9103645833333334,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,1,0.0708,0.03119375,0.03960625,0.33599999999999997,0.1585625,0.17743749999999997,0.11427083333333332,1.0,0.9050260416666667,mmlu_pro,gpt55
mmlu_pro.gpt55,5,0.1,2,0.055200000000000006,0.03250625,0.022693750000000006,0.256,0.159375,0.09662500000000002,0.06611979166666666,1.0,0.9292708333333333,mmlu_pro,gpt55
